0	0	0	0
1	100	100	1001
2	150	150	1002
3	200	200	1003
4	250	250	1004
5	300	300	1005
6	350	350	1006
7	400	400	2001
8	450	450	2002
9	500	500	2003
10	550	550	2004
11	600	600	1005
12	650	650	1006
13	700	700	2001
14	750	750	2002
15	800	800	4003
16	850	850	4004
17	900	900	4005
18	950	950	1001
19	1000	1000	1002
20	1050	1050	2004
21	1100	1100	2005
22	1150	1150	2006
23	1200	1200	4001
24	1250	1250	4002
25	1300	1300	3002
26	1350	1350	2003
27	1400	1400	2004
28	1450	1450	2005
29	1500	1500	2006
30	1550	1550	3003
31	1600	1600	4001
32	1650	1650	4002
33	1700	1700	4003
34	1750	1750	4004
35	1800	1800	4005
36	1850	1850	4002
37	1900	1900	4003
38	1950	1950	4004
39	2000	2000	4005
40	2050	2050	1001
41	2051	2051	1002
42	2052	2052	3001
43	2053	2053	1004
44	2054	2054	1005
45	2055	2055	1006
46	2056	2056	2001
47	2057	2057	3002
48	2058	2058	2003
49	2059	2059	2004
50	2060	2060	2005
51	2061	2061	2006
52	2062	2062	3003
53	2063	2063	4001
54	2064	2064	4002
55	2065	2065	4003
56	2066	2066	4004
57	2067	2067	1004
58	2068	2068	1005
59	2069	2069	1006
60	2070	2070	3005
