1001	2	1	1	桃木剑	武器描述	3320	1	3	0	0	1	490
1002	1	2	1	死神头盔	头盔描述	1668	1	4	0	0	2	258
1003	1	3	1	金鹏宝甲	衣服描述	1630	2	5	0	0	3	149
1004	1	4	1	雷霆战靴	鞋子描述	2125	2	0	0	0	4	267
1005	1	5	1	准确项链	项链描述	2567	1	3	0	0	5	450
1006	1	6	1	降妖戒指	戒指描述	1701	1	0	0	0	6	500
2001	2	1	2	乌木剑	武器描述	4233	6	8	0	0	7	490
2002	1	2	2	明王头盔	头盔描述	2010	6	9	0	0	8	258
2003	1	3	2	蟠龙宝甲	衣服描述	2162	7	10	0	0	9	149
2004	1	4	2	神武战靴	鞋子描述	2321	7	0	0	0	10	267
2005	1	5	2	纯银项链	项链描述	3061	6	8	0	0	11	450
2006	1	6	2	龙牙戒指	戒指描述	1856	6	0	0	0	12	500
3001	2	1	3	伐木斧	武器描述	5166	11	13	0	0	13	590
3002	1	2	3	星王冠	头盔描述	2352	11	14	0	0	14	358
3003	1	3	3	上帝战甲	衣服描述	2694	12	15	0	0	15	249
3004	1	4	3	血煞靴子	鞋子描述	2517	12	16	0	0	16	367
3005	1	5	3	天羽项链	项链描述	3555	12	13	17	0	17	550
3006	1	6	3	王者之戒	戒指描述	2011	11	16	0	0	18	600
