1001	2	1	1	屠龙刃	武器描述	3320	1	3	0	0	1	590
1002	1	2	1	灵光冠	头盔描述	1668	1	4	0	0	2	358
1003	1	3	1	陵光甲	衣服描述	1630	2	5	0	0	3	249
1004	1	4	1	睚眦靴	武器描述	2125	2	0	0	0	1	367
1005	1	5	1	临天戒	头盔描述	2567	1	3	0	0	2	550
1006	1	6	1	临天链	衣服描述	1701	1	0	0	0	3	600
2001	2	1	2	霸王枪	武器描述	4233	6	8	0	0	1	690
2002	1	2	2	兽角冠	头盔描述	2010	6	9	0	0	2	458
2003	1	3	2	黄金甲	衣服描述	2162	7	10	0	0	3	349
2004	1	4	2	青兽履	武器描述	2321	7	0	0	0	3	467
2005	1	5	2	牙玉戒	鞋子描述	3061	6	8	0	0	4	650
2006	1	6	2	牙玉链	戒指描述	1856	6	0	0	0	5	700
3001	2	1	3	真·霸王枪	饰品描述	5166	11	13	0	0	6	890
3002	1	2	3	真·兽角冠	鞋子描述	2352	11	14	0	0	4	658
3003	1	3	3	真·黄金甲	戒指描述	2694	12	15	0	0	5	549
3004	1	4	3	真·青兽履	饰品描述	2517	12	16	0	0	6	667
3005	1	5	3	真·牙玉戒	鞋子描述	3555	12	13	17	0	4	850
3006	1	6	3	真·牙玉链	戒指描述	2011	11	16	0	0	5	900
4001	3	0	0	八珍强体汤	气血药品描述	0	0	0	0	0	0	300
4002	3	0	0	壮骨香囊 	力量药品描述	0	0	0	0	0	1	300
4003	3	0	0	虎皮凤爪 	智力药品描述	0	0	0	0	0	2	300
4004	3	0	0	合饼卷菜	敏捷药品描述	0	0	0	0	0	3	300
4005	3	0	0	提神香囊	耐力药品描述	0	0	0	0	0	4	300
